CVEGEO,ECO1_R,ECO4_R,ECO7_R,ECO10_R,ECO13_R,ECO16_R,ECO19_R,ECO22_R
1900200010245032,45.5,100.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010245033,62.5,100.0,0.0,60.0,0.0,0.0,-6.0,0.0
1900200010245034,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245036,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245038,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A001,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A002,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,-6.0
190020001025A003,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A004,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A006,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A007,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A008,50.0,100.0,0.0,0.0,0.0,-6.0,-6.0,0.0
190020001025A009,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
190020001025A010,71.4,80.0,0.0,-6.0,-6.0,0.0,-6.0,0.0
190020001025A011,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A012,50.0,80.0,0.0,-6.0,-6.0,-6.0,-6.0,0.0
190020001025A014,36.4,100.0,-6.0,-6.0,0.0,-6.0,-6.0,0.0
190020001025A015,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A016,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
190020001025A017,57.1,100.0,0.0,-6.0,0.0,75.0,0.0,0.0
190020001025A018,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A019,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A020,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A022,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A023,33.3,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0
190020001025A024,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A025,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A026,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,-6.0
190020001025A027,46.7,100.0,0.0,0.0,0.0,0.0,-6.0,85.7
190020001025A028,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
190020001025A029,60.0,100.0,0.0,-6.0,-6.0,-6.0,0.0,-6.0
190020001025A030,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
190020001025A032,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A033,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
190020001025A034,-6.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
190020001025A036,37.5,83.3,0.0,-6.0,-6.0,-6.0,-6.0,0.0
190020001025A037,41.9,92.3,-6.0,41.7,-6.0,33.3,-6.0,-6.0
190020001025A038,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,-6.0
1900200010264001,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264002,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264003,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264004,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264005,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264006,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264007,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010264008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010264009,50.0,100.0,0.0,0.0,0.0,-6.0,-6.0,0.0
1900200010264010,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
